name,company,twitter_handle,confidence,notes
Truth Network (now Predictor Network),Enterprise appchain client (prediction-market verification),@PRDCTR_IO,medium,Rebranded from Truth Network to PRDCTR/Predictor Network; legacy handle @Truth_Network_ may still redirect; API lookup unavailable
Galactic,Consumer-product builder on Truth Network appchain,@galacticmarkets,high,Official Galactic media/prediction-markets account per galacticmarkets.io press release; API lookup unavailable
Enigmatic Smile (Voucher Ledger),Enterprise appchain client (loyalty / cashback),@EnigmaticSmile,medium,Company account; ecosystem also uses @Vowcurrency; API lookup unavailable
Knowd Communication FZCO,Node Seller Partner — retail distribution community (UAE / DIEZ),,none,No official public X/Twitter account found; company operates at knowd.io with LinkedIn presence only
TECHSAFE FZCO,Node Seller Partner — retail distribution community (UAE / DMCC),,none,No official X/Twitter account found on techsafe.ac; DMCC-based node seller
Aventus Node Holders (retail),Core owner community,@AventusNetwork,medium,No dedicated retail-holder account; using official @AventusNetwork network account
Polkadot / Web3 Foundation,Layer-0 relay chain & ecosystem (DOT),@Polkadot,high,Official Polkadot account
Parity Technologies,Core technology provider,@ParityTech,high,Official Parity Technologies account
Ethereum,Settlement / anchor layer (ETH),@ethereum,high,Official Ethereum account
Moonbeam (GLMR),EVM smart-contract platform,@MoonbeamNetwork,high,Official Moonbeam Network account
Astar (ASTR),Multi-VM smart contracts / dApp hub,@AstarNetwork,high,Official Astar Network account
Acala (ACA),DeFi hub / stablecoin (aUSD),@AcalaNetwork,high,Official Acala Network account
Hydration / HydraDX (HDX),DeFi — omnipool liquidity / DEX,@HydraDX,high,Rebranded to Hydration; handle remains @HydraDX
Bifrost (BNC),Liquid staking (LST) protocol,@BifrostFinance,high,Official Bifrost Finance account
Centrifuge (CFG),Real-world asset (RWA) tokenisation,@centrifuge,high,Official Centrifuge account
Phala Network (PHA),Privacy / AI compute / DePIN coprocessor,@PhalaNetwork,high,Official Phala Network account
Unique Network (UNQ),NFT infrastructure,@Unique_NFTchain,high,Official Unique Network account
Mythos (MYTH),Gaming ecosystem,@EnterTheMythos,high,Official Mythos gaming account
Energy Web X (EWT),Energy DePIN  (also a historical Aventus partner — see §5),@energywebx,high,Official Energy Web X account
Frequency (FRQCY),Decentralised social (DSNP),@onefrequency,high,Official Frequency (DSNP) account
Interlay (INTR),Bitcoin DeFi / iBTC bridge,@interlayHQ,high,Official Interlay account
Manta (MANTA),Privacy / ZK infrastructure,@MantaNetwork,high,Official Manta Network account
KILT Protocol (KILT),Decentralised identity / credentials,@Kiltprotocol,high,Official KILT Protocol account
Nodle (NODL),IoT / smartphone DePIN network,@NodleNetwork,high,Official Nodle Network account
Parallel Finance (PARA),DeFi lending / staking,@ParallelFi,high,Official Parallel Finance account
Composable (LAYR),Cross-chain interoperability,@ComposableFin,high,Official Composable Finance account
Integritee (TEER),Confidential compute / TEE,@IntegriteeHQ,high,Official Integritee account
Darwinia (RING),Cross-chain messaging / bridge,@DarwiniaNetwork,high,Official Darwinia Network account
Crust Network (CRU),Decentralised storage,@CrustNetwork,high,Official Crust Network account
Zeitgeist (ZTG),Prediction markets (synergy w/ Truth Network),@ZeitgeistPM,high,Official Zeitgeist account
